Flip Percentage,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Independence (M_ind),0.027299999999999998,0.005638774492545146,0.024810000124853106,0.008325442373058017
5.0,Independence (M_ind),0.04868,0.01006875033623008,0.04868999999016523,0.009911547180702385
10.0,Independence (M_ind),0.10158,0.014228272324261063,0.08341000117361545,0.014526623199758122
15.0,Independence (M_ind),0.15963,0.01377134746897017,0.12304000109434128,0.016300179333454786
20.0,Independence (M_ind),0.20780999999999997,0.015845416091447743,0.1496399983763695,0.016546279723632824
25.0,Independence (M_ind),0.26447,0.017710794260375032,0.19658999964594842,0.017142620907770904
30.0,Independence (M_ind),0.31593,0.016181230896731354,0.2189000017940998,0.02219751798244173
35.0,Independence (M_ind),0.37862,0.017548990474288446,0.2715699955821037,0.023467221768729233
40.0,Independence (M_ind),0.43084,0.015045451139796372,0.28015000075101854,0.014020319298911729
45.0,Independence (M_ind),0.46308,0.012951952233801151,0.2888100042939186,0.02096927684797053
50.0,Independence (M_ind),0.5055000000000001,0.015796996901661756,0.3157099992036819,0.01685536882332374
55.00000000000001,Independence (M_ind),0.55662,0.014255250884420725,0.3514100044965744,0.013139104585367578
60.0,Independence (M_ind),0.6032200000000001,0.011366039083359,0.4075199991464615,0.01416742713116245
65.0,Independence (M_ind),0.6407900000000001,0.01095174719698491,0.4498700052499771,0.016102670811844286
70.0,Independence (M_ind),0.67848,0.010699333312563605,0.5026299983263016,0.013114061739301271
0.0,Separation (M_sep),0.06619,0.008982482334460161,0.07626,0.019742414577080817
5.0,Separation (M_sep),0.12212,0.020524163536887168,0.11404,0.020793547075956043
10.0,Separation (M_sep),0.19684,0.02678047879415983,0.17443000000000003,0.033874500570324116
15.0,Separation (M_sep),0.27851,0.0361190606805388,0.22969,0.03541684611719244
20.0,Separation (M_sep),0.37115,0.034637786848726024,0.28183,0.032953458931583426
25.0,Separation (M_sep),0.45068,0.04068826147947614,0.34693999999999997,0.03640475609953549
30.0,Separation (M_sep),0.55373,0.039367169203679234,0.39865,0.05099985457495605
35.0,Separation (M_sep),0.6513100000000001,0.04330176657930816,0.47856000000000004,0.05319717661680928
40.0,Separation (M_sep),0.7453899999999999,0.04889881036953308,0.49272,0.0473835573918961
45.0,Separation (M_sep),0.81626,0.033656282887118985,0.51428,0.04631995442331282
50.0,Separation (M_sep),0.90402,0.03675890761283432,0.5298700000000001,0.03838096475540389
55.00000000000001,Separation (M_sep),1.00759,0.03830252225521331,0.57736,0.04164125945368234
60.0,Separation (M_sep),1.0707299999999997,0.028058158053110575,0.67873,0.043721586455916964
65.0,Separation (M_sep),1.1176799999999998,0.03776457717079445,0.7584,0.04463253920129971
70.0,Separation (M_sep),1.1925199999999998,0.03167622592558792,0.86578,0.03988307856166014
0.0,Sufficiency (M_suff),0.11451,0.017178943506514013,0.10676999999999999,0.019116990988239872
5.0,Sufficiency (M_suff),0.15650999999999998,0.019063236579576114,0.17875000000000002,0.017704345041072073
10.0,Sufficiency (M_suff),0.21328999999999998,0.019739432897403892,0.22144,0.020989516960192828
15.0,Sufficiency (M_suff),0.23778000000000002,0.022461150658167287,0.24678,0.030724679909733075
20.0,Sufficiency (M_suff),0.25787,0.029270641529620688,0.25403000000000003,0.02829518235397051
25.0,Sufficiency (M_suff),0.29229,0.031654960818873944,0.29389,0.03375339472639094
30.0,Sufficiency (M_suff),0.29508,0.028853864751729724,0.30621,0.03172717184580645
35.0,Sufficiency (M_suff),0.3192,0.02713335380834608,0.30036,0.033088236244589675
40.0,Sufficiency (M_suff),0.33665999999999996,0.02608468771776525,0.30304999999999993,0.03194777074469446
45.0,Sufficiency (M_suff),0.32850999999999997,0.02370174138000085,0.30726000000000003,0.03362004098087264
50.0,Sufficiency (M_suff),0.33038,0.0229886870728481,0.27121,0.027917359991390465
55.00000000000001,Sufficiency (M_suff),0.36002999999999996,0.02254153228548977,0.28245999999999993,0.02635935507557042
60.0,Sufficiency (M_suff),0.36504,0.023813937095742903,0.2918,0.025358110690226466
65.0,Sufficiency (M_suff),0.39003,0.031539745824382716,0.29555000000000003,0.023522217629769138
70.0,Sufficiency (M_suff),0.3885199999999999,0.021276579716778828,0.31001,0.025528500195315475
